,accuracy,precision,recall,f1,loss
1065,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.004270491190254688
1066,1.0,0.999999999994737,0.999999999994737,0.9999999999447371,0.0117868110537529
1067,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.005553728435188532
1068,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.011945854872465134
1069,0.96875,0.941176470582699,0.9999999999937501,0.9696969696411387,0.05778888612985611
1070,0.96875,0.9999999999916667,0.9230769230698225,0.9599999999424,0.1428346037864685
1071,0.96875,0.941176470582699,0.9999999999937501,0.9696969696411387,0.06856515258550644
1072,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.011979017406702042
1073,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.0014653898542746902
1074,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.028077542781829834
1075,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.007638375740498304
1076,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.016249623149633408
1077,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.011261476203799248
1078,0.96875,0.9230769230698225,0.9999999999916667,0.9599999999424,0.03599430248141289
1079,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.0013760009314864874
1080,0.96875,0.8888888888790123,0.9999999999875,0.9411764705273357,0.0681702271103859
1081,1.0,0.9999999999941177,0.9999999999941177,0.9999999999441178,0.0071564121171832085
1082,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.023004187270998955
1083,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.014299935661256313
1084,0.96875,0.941176470582699,0.9999999999937501,0.9696969696411387,0.04330645874142647
1085,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.008431479334831238
1086,0.96875,0.9444444444391976,0.9999999999941177,0.9714285713730614,0.14322398602962494
1087,1.0,0.9999999999875,0.9999999999875,0.9999999999375,0.004157956689596176
1088,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.005423576571047306
1089,1.0,0.9999999999916667,0.9999999999916667,0.9999999999416667,0.0019620745442807674
1090,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.0096208481118083
1091,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.050227340310811996
1092,1.0,0.9999999999875,0.9999999999875,0.9999999999375,0.016867907717823982
1093,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.010446665808558464
1094,1.0,0.99999999999,0.99999999999,0.99999999994,0.0005793833988718688
1095,0.96875,0.9999999999933333,0.9374999999941407,0.9677419354276795,0.1217222809791565
1096,1.0,0.9999999999928572,0.9999999999928572,0.9999999999428573,0.008014454506337643
1097,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.004241782706230879
1098,0.96875,0.9230769230698225,0.9999999999916667,0.9599999999424,0.047889482229948044
1099,1.0,0.99999999999,0.99999999999,0.99999999994,0.01450278703123331
1100,0.96875,0.941176470582699,0.9999999999937501,0.9696969696411387,0.12120301276445389
1101,1.0,0.9999999999944446,0.9999999999944446,0.9999999999444447,0.0009176174062304199
1102,0.96875,0.9333333333271111,0.9999999999928572,0.965517241322711,0.06183576583862305
1103,1.0,0.9999999999933333,0.9999999999933333,0.9999999999433333,0.02617211639881134
1104,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.02872748114168644
1105,1.0,0.9999999999937501,0.9999999999937501,0.9999999999437501,0.009294278919696808
1106,1.0,0.9999999999944446,0.9999999999944446,0.9999999999444447,0.008194566704332829
1107,1.0,0.9999999999923077,0.9999999999923077,0.9999999999423077,0.012808695435523987
